# Task 2D: periodicity check on the residual correlation floor (follow-up to
# Task 2C). Single stacked table, discriminated by the 'table' column:
#
#   table='acf_long'      : per (variant, layer), lag k=1..56 -- n_pairs,
#                           flag_low_n (n_pairs<80), acf (point estimate,
#                           mean similarity over original-adjacent valid
#                           pairs), acf_ci95_lo/hi (block=64 adjacency-
#                           preserving moving-block bootstrap, 1000 resamples).
#   table='diurnal'       : per (variant, layer), bin_label in
#                           {0-6h,6-12h,12-18h,18-24h} = (hour-of-day(t+k) -
#                           hour-of-day(t)) mod 24, pooled over all valid pairs
#                           at lags 1-56. bin_mean_sim, bin_n_pairs.
#   table='weekly'        : per (variant, layer), bin_label in {0d..6d} =
#                           (dow(t+k) - dow(t)) mod 7, pooled over all valid
#                           pairs at lags 1-56. bin_mean_sim, bin_n_pairs.
#   table='floor_summary' : per (variant, layer) -- floor_lag12_16 (mean ACF
#                           lags 12-16, recomputed here, exact match to Task
#                           2C's 'floor' column), floor_mid_19_25 (lags 19-25,
#                           between-band), floor_far_26_32 (lags 26-32, weekly
#                           recurrence band, ~168h/dt=29.26 lags), each with
#                           block=64 bootstrap 95% CI; n_pairs_*_min = minimum
#                           n_pairs across the lags in that band.
#
# variants: per_month_incl / detrended = layer-centroid variants from Task 2C
#   (per-month-centered / linear-detrended), 3 layers, n=210 rows, dt=5.7405h,
#   cosine similarity. phi_t_detrended = comparison aggregate scalar (Task 2
#   Analysis C linearly-detrended phi_t on its regular 6h grid, n=225,
#   layer='aggregate'); 'similarity' = standardized-product z(t)*z(t+k), whose
#   lag-mean is the standard biased-autocovariance ACF estimator (cosine
#   similarity is undefined for a 1-d scalar).
#
# Bootstrap: single block=64 (smallest multiple of 8 exceeding lag 56; a block
# of length Lb can only contain pairs up to lag Lb-1, so block=24 from Task 2C
# cannot reach lag 56) adjacency-preserving moving-block bootstrap, 1000
# resamples, fixed seed = 42+offset (see floor_summary.boot_seed; offsets
# 300-302/310-312/320, distinct from Tasks 2B/2C). block=64 (Lb-1=63>=56)
# covers every lag 1-56, superseding Task 2C's block=8 for the short lags too.
table,variant,layer,lag,n_pairs,flag_low_n,acf,acf_ci95_lo,acf_ci95_hi,bin_label,bin_mean_sim,bin_n_pairs,dt_hours,n_series_rows,floor_lag12_16,floor_lag12_16_ci95_lo,floor_lag12_16_ci95_hi,floor_mid_19_25,floor_mid_ci95_lo,floor_mid_ci95_hi,floor_far_26_32,floor_far_ci95_lo,floor_far_ci95_hi,n_pairs_floor_min,n_pairs_mid_min,n_pairs_far_min,boot_seed,n_boot,boot_block
acf_long,per_month_incl,surface,27.0,131.0,False,0.020226770678531375,-0.02360166388176949,0.06226498849379723,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,28.0,129.0,False,0.013615782818863725,-0.033751760096007506,0.07071070439901027,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,29.0,127.0,False,-0.0001797186674444223,-0.037076453887647506,0.049175827984651,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,30.0,125.0,False,-0.011491165847769201,-0.07953844335263965,0.05095810845797433,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,31.0,123.0,False,-0.005368752461869471,-0.06331256984838043,0.05201944853829163,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,32.0,121.0,False,0.009276702692494131,-0.03436135907580005,0.06940189297466076,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,33.0,119.0,False,-0.0200516859708135,-0.05927393459414086,0.026774408782478776,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,34.0,117.0,False,-0.034731334816807326,-0.0939274338155402,0.04902846212427221,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,35.0,116.0,False,-0.03572698848803569,-0.0926221857509021,0.037411045534386025,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,36.0,115.0,False,-0.005071348133624701,-0.0273988295418485,0.032620250751661944,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,37.0,114.0,False,-0.03830574771624834,-0.08756303746311503,0.020982663593508952,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,38.0,113.0,False,-0.0537228243844804,-0.10077318585143107,0.022957770096169103,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,39.0,112.0,False,-0.03804678339684726,-0.09342524984374122,0.017101991874703893,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,40.0,111.0,False,-0.03177705471050012,-0.07989431251728317,0.021180519004586843,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,41.0,110.0,False,-0.03621944740736409,-0.08465258192039041,0.021038845278163337,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,42.0,109.0,False,-0.05040720240439155,-0.11292992885484805,0.01225233506929106,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,43.0,108.0,False,-0.04073098967067379,-0.13505874443630841,0.03205210213135609,,,,,,,,,,,,,,,,,,,,
