metric,month_a,month_b,autocorr_lag1_a,autocorr_lag1_b,autocorr_diff_b_minus_a,flag_large_autocorr_diff,cohens_d_b_vs_a,flag_large_d
post_rate_est,2026-04,2026-05,0.1465644894281008,0.10081767615505706,-0.04574681327304374,False,-0.3000648123019692,False
H_t,2026-04,2026-05,0.26142970617388905,-0.04628459427551737,-0.3077143004494064,True,-0.12286910161282895,False
phi_t,2026-04,2026-05,0.6946244929906321,0.6394271643438663,-0.05519732864676585,False,-1.23004619499119,True
D_t,2026-04,2026-05,0.4244417150578077,0.41350418677980677,-0.01093752827800093,False,0.3874897085465255,False
n_total,2026-04,2026-05,,-0.05340876137522257,,False,-0.38597504699001967,False
centroid_dist_surface_mid,2026-04,2026-05,0.027097163432059812,0.03697937178308856,0.009882208351028751,False,0.22712358290415124,False
centroid_dist_mid_residue,2026-04,2026-05,-0.010113935102022404,0.08420271726341942,0.09431665236544183,False,0.23103852835998379,False
centroid_dist_surface_residue,2026-04,2026-05,0.1812900720053266,0.06264646008322437,-0.11864361192210222,False,0.5146677023285862,True
