metric,autocorr_lag1,autocorr_lag4,roll_mean_last,roll_std_last,diff1_mean,diff1_std,ols_slope,ols_intercept,ols_r_squared,ols_trend_p,flag_autocorr_lag1,flag_autocorr_lag4,flag_trend_p
post_rate_est,0.15006722456212873,0.15771151555139779,500.2875,68.81153220417004,1.4659292035398224,395.45902795305756,-1.151377694283174,748.6120789823428,0.06392993596736858,0.00010958604701550659,False,False,True
H_t,-0.035570531196717284,-0.1070165016815475,10.9343125,0.15882369774150748,0.0007629107981220724,0.40985527298931707,-0.00038901396205968724,10.964016435557488,0.007184983572384612,0.21684693129277874,False,False,False
phi_t,0.7559031973344519,0.5439198266063007,0.09029775,0.007120996273596285,-0.00014803286384976522,0.006322323552888245,-9.552871359869715e-05,0.11586331267115843,0.42322609002289524,3.8801158881455104e-27,True,True,True
D_t,0.4357565160814877,0.15596882125616696,0.019063499999999997,0.009171687911331085,0.0004470380952380952,0.02113783915498655,5.9047608102338435e-05,0.0124866990433165,0.03056093462286514,0.010772607075818993,True,False,True
n_total,-0.015688313151986294,-0.022701643239516213,634.375,161.9840710863704,-0.5868544600938967,160.54596771924224,-0.4074435747280903,771.4301238861117,0.05029699751843037,0.0009539877875909145,False,False,True
centroid_dist_surface_mid,0.04719339478759445,-0.002992231460327783,0.06786557142857143,0.05902120077242628,6.054187192118238e-05,0.0368657092693555,4.347329644040171e-05,0.03674770061517431,0.009922466282712558,0.15128633013289652,False,False,False
centroid_dist_mid_residue,0.07807177821547222,0.034301707830867494,0.06195642857142857,0.05026533668728093,-0.0003054532019704437,0.03849191603069901,3.6347890267627084e-05,0.040942149555707456,0.006128988472944802,0.2598537681697913,False,False,False
centroid_dist_surface_residue,0.13839842281628925,0.08332401287035907,0.070359875,0.08065092817185766,9.356585365853674e-05,0.030727034243221756,0.00010612195352664299,0.02972587966598962,0.0774035786229541,4.338536927133983e-05,False,False,True
