pair,scope,n,mean,std
surface-mid,overall,210,1.4727005411710954,0.15739926455439207
mid-residue,overall,210,1.5381291587603398,0.1112465695228835
surface-residue,overall,210,1.469141905541572,0.17517331834397037
surface-mid,2026-04,104,1.4871204939536589,0.168207925102227
mid-residue,2026-04,104,1.5515629807532731,0.10041336956641068
surface-residue,2026-04,104,1.4384199469656782,0.2050930289215484
surface-mid,2026-05,106,1.4585526629693348,0.14462842063278916
mid-residue,2026-05,106,1.5249488051068958,0.11947680166019173
surface-residue,2026-05,106,1.499284204521694,0.1329974165062321
