metric,month_a,month_b,n_a,n_b,mean_a,mean_b,mean_shift_b_minus_a,cohens_d_b_vs_a,mw_pval,ks_pval
post_rate_est,2026-04,2026-05,121,108,659.6661157024794,569.9509259259258,-89.71518977655353,-0.3000648123019692,0.14384302866577706,0.4796761218617254
H_t,2026-04,2026-05,104,110,10.94054230769231,10.90561,-0.03493230769231026,-0.12286910161282895,0.0007469062771952155,0.00044653276941707343
phi_t,2026-04,2026-05,104,110,0.11059210576923076,0.10105431818181816,-0.009537787587412597,-1.23004619499119,7.348704478852908e-15,3.605191033919477e-15
D_t,2026-04,2026-05,103,109,0.014654611650485433,0.022554256880733942,0.00789964523024851,0.3874897085465255,0.00058479737228305,0.0036032272228211717
n_total,2026-04,2026-05,104,110,750.0,707.2727272727273,-42.72727272727275,-0.38597504699001967,0.00031337473901517647,0.4017431581285914
centroid_dist_surface_mid,2026-04,2026-05,104,105,0.038269432692307696,0.044239847619047624,0.005970414926739928,0.22712358290415124,0.0036569911955321634,0.0035559784797821368
centroid_dist_mid_residue,2026-04,2026-05,104,105,0.04147710576923077,0.04793664761904762,0.006459541849816848,0.23103852835998379,0.0005733896868788652,3.4747947852126985e-05
centroid_dist_surface_residue,2026-04,2026-05,104,106,0.03497192307692308,0.046549066037735856,0.011577142960812775,0.5146677023285862,4.02721719922095e-10,3.4944828589214343e-09
