metric,n_april,n_may,mean_april,mean_may,mean_shift_may_minus_apr,cohens_d,mw_pval,ks_pval,flag_mw_sig_0.05,flag_large_effect_d0.5,mw_q_bh,flag_mw_q_sig_0.05
post_rate_est,121,108,659.6661157024794,569.9509259259258,-89.71518977655353,-0.3043169354227296,0.14384302866577706,0.4796761218617254,False,False,0.14384302866577706,False
H_t_numeric,104,110,10.94054230769231,10.90561,-0.03493230769231026,-0.1250880081037673,0.0007469062771952155,0.00044653276941707343,True,False,0.0009958750362602873,True
phi_t,104,110,0.11059210576923076,0.10105431818181816,-0.009537787587412597,-1.2375944811128348,7.348704478852908e-15,3.605191033919477e-15,True,True,5.878963583082326e-14,True
D_t,103,109,0.014654611650485433,0.022554256880733942,0.00789964523024851,0.3941332801716666,0.00058479737228305,0.0036032272228211717,True,False,0.0009356757956528799,True
n_total,104,110,750.0,707.2727272727273,-42.72727272727275,-0.3931901582637998,0.00031337473901517647,0.4017431581285914,True,False,0.0008356659707071373,True
centroid_dist_surface_mid,104,105,0.038269432692307696,0.044239847619047624,0.005970414926739928,0.2285328268676765,0.0036569911955321634,0.0035559784797821368,True,False,0.004179418509179615,True
centroid_dist_mid_residue,104,105,0.04147710576923077,0.04793664761904762,0.006459541849816848,0.23246313737590157,0.0005733896868788652,3.4747947852126985e-05,True,False,0.0009356757956528799,True
centroid_dist_surface_residue,104,106,0.03497192307692308,0.046549066037735856,0.011577142960812775,0.5188829850441194,4.02721719922095e-10,3.4944828589214343e-09,True,True,1.61088687968838e-09,True
