metric,count,nan_count,mean,median,std,min,max,q05,q25,q75,q95,cv,mad,robust_z_min,robust_z_max,n_total_regime_count
post_rate_est,229,2,617.3550218340611,548.3,301.68708101948374,12.5,2124.4,344.7,458.2,693.7,1142.16,0.48867680726597257,106.89999999999998,-3.380702525724977,9.94461599625819,
H_t,214,17,10.922586448598132,10.9551,0.2841762589547647,8.7108,11.2154,10.844305,10.9149,11.00915,11.111705,0.026017304627626688,0.045999999999999375,-32.908268478261306,3.8167902173913686,6.0
phi_t,214,17,0.10568950467289719,0.106132,0.009092497850016805,0.081371,0.136099,0.09109165,0.10015575,0.11167175,0.120076,0.08603028160797567,0.005774000000000001,-2.8924999134049183,3.50064799099411,
D_t,212,19,0.018716221698113204,0.013715000000000001,0.020719825961155406,0.007627,0.173761,0.009560850000000001,0.01172775,0.016969,0.041071749999999844,1.1070517487642384,0.0024090000000000014,-1.704589456205894,44.81155126608548,
n_total,214,17,728.0373831775701,750.0,112.494667603089,25.0,750.0,700.0,750.0,750.0,750.0,0.1545177077475035,0.0,,,
centroid_dist_surface_mid,209,22,0.04126892344497608,0.035215,0.02639398248023947,0.019119,0.303809,0.0254268,0.030719,0.041344,0.07468679999999998,0.6395607221358852,0.004978000000000003,-2.180946564885495,36.39346183206104,
centroid_dist_mid_residue,209,22,0.04472233014354067,0.038156,0.02807869848868294,0.024427,0.345587,0.027184,0.03291,0.046524,0.08258579999999999,0.6278451591981372,0.006397,-1.4475864467719246,32.41554001875879,
centroid_dist_surface_residue,210,21,0.04081562380952381,0.0369,0.02317848083430045,0.019873,0.269635,0.02471545,0.03096725,0.04327575,0.06424729999999998,0.567882557485059,0.006006999999999995,-1.9118880472781776,26.132804644581345,
