step_i,ts_from,ts_to,month_from,month_to,is_boundary,global_drift,adjacency,residual_drift_surface,raw_drift_surface,ratio_resid_raw_surface,residual_drift_mid,raw_drift_mid,ratio_resid_raw_mid,residual_drift_residue,raw_drift_residue,ratio_resid_raw_residue
0,2026-04-05 18:35:02.543325+00:00,2026-04-05 19:55:32.383831+00:00,2026-04,2026-04,False,0.0550256218049431,original,0.09459734182392092,0.10572733987877411,0.8947292340125578,0.1004376404491018,0.12567759025803432,0.7991690502888285,0.06429384677356026,0.07266640116278773,0.8847809406375964
1,2026-04-05 19:55:32.383831+00:00,2026-04-05 21:24:12.030330+00:00,2026-04,2026-04,False,0.06663871626841188,original,0.08835512912450463,0.09425667666470505,0.9373885463711634,0.07025823895523421,0.07930156217883531,0.8859628615738082,0.11560989601290919,0.15574850599298476,0.7422857463436375
2,2026-04-05 21:24:12.030330+00:00,2026-04-05 22:15:55.666851+00:00,2026-04,2026-04,False,0.0613308432396326,original,0.07642385068594575,0.07822509044923265,0.9769736314404661,0.08319799500963546,0.09333017593540335,0.8914372460544735,0.11524673088580403,0.1499968230088494,0.7683278123764314
3,2026-04-05 22:15:55.666851+00:00,2026-04-05 23:39:45.102481+00:00,2026-04,2026-04,False,0.07697811145769795,original,0.0748375688229163,0.13097545936706015,0.5713861908526177,0.09391660091868574,0.07100274847975038,1.3227178233173646,0.06952548345892617,0.1218019256435088,0.5708077527642225
4,2026-04-05 23:39:45.102481+00:00,2026-04-06 02:32:12.752196+00:00,2026-04,2026-04,False,0.08167274402476389,original,0.08565195451795561,0.14446185358064714,0.5929036101571244,0.11538041439686858,0.08207462483616593,1.405798864474694,0.07140359651811583,0.1347338265152055,0.5299604291284454
5,2026-04-06 02:32:12.752196+00:00,2026-04-06 07:44:59.863949+00:00,2026-04,2026-04,False,0.08909604120008335,original,0.08057248422155704,0.1448656719334392,0.556187557384729,0.11276481430447667,0.08009718307194039,1.4078499390321306,0.07666773036039114,0.14662355786346057,0.5228882144013037
6,2026-04-06 07:44:59.863949+00:00,2026-04-06 13:12:16.997349+00:00,2026-04,2026-04,False,0.09775937172534359,original,0.08591848335443304,0.16138583557596048,0.5323793321006369,0.11730467599840551,0.08393226216035449,1.3976112757963353,0.08040785806138717,0.1522776512349066,0.5280345304075407
7,2026-04-06 13:12:16.997349+00:00,2026-04-06 19:00:54.724466+00:00,2026-04,2026-04,False,0.061350047388634935,original,0.07625913732052006,0.08304838302992489,0.9182495135762192,0.10016433716744785,0.13770641048505072,0.7273759937146979,0.08090374792275375,0.08845992724165894,0.9145807649348063
8,2026-04-06 19:00:54.724466+00:00,2026-04-07 02:26:58.809126+00:00,2026-04,2026-04,False,0.06979926223715463,original,0.08345685820579993,0.09955627296747252,0.8382882938282286,0.11190747301765319,0.1571851690997681,0.71194676736088,0.08590662296270477,0.08285801096711627,1.0367932075608042
9,2026-04-07 02:26:58.809126+00:00,2026-04-07 07:18:42.965810+00:00,2026-04,2026-04,False,0.05627178040440505,original,0.08222717006845477,0.10542559863235544,0.779954499999576,0.09206156442092167,0.10633600220208507,0.8657610076967563,0.06574356604810536,0.08146462826098766,0.8070197759631721
10,2026-04-07 07:18:42.965810+00:00,2026-04-07 13:20:22.100772+00:00,2026-04,2026-04,False,0.0464157783546838,original,0.06959714689604905,0.0784285945481351,0.8873950540237491,0.0974780751903982,0.11761541517655107,0.828786558667289,0.0659634718486417,0.07194275008052102,0.9168883838164777
11,2026-04-07 13:20:22.100772+00:00,2026-04-07 19:05:10.402650+00:00,2026-04,2026-04,False,0.058098714142894935,original,0.08770814239689312,0.0736527337079138,1.1908334963467773,0.13881101013624156,0.1779375427192472,0.7801108637049118,0.0888736122981307,0.08887982739737335,0.9999300730050379
12,2026-04-07 19:05:10.402650+00:00,2026-04-08 02:28:04.776757+00:00,2026-04,2026-04,False,0.11108351223122277,original,0.07627927159292872,0.1632211768562282,0.46733685580590184,0.11155353521822546,0.0832422172133314,1.3401076875732227,0.07501223300033302,0.1653414347522708,0.453680791585745
13,2026-04-08 02:28:04.776757+00:00,2026-04-08 07:21:07.317128+00:00,2026-04,2026-04,False,0.12028803131911597,original,0.10483664631391776,0.2079674938554824,0.5041011187391105,0.14888878873769526,0.08661668756634122,1.7189388433222959,0.08440557993472947,0.18148717958169436,0.4650773687115198
14,2026-04-08 07:21:07.317128+00:00,2026-04-08 13:21:29.845620+00:00,2026-04,2026-04,False,0.0502054237361006,original,0.06925993102530488,0.0729401189019652,0.9495450798262798,0.08524086676813884,0.11021575666940762,0.7734000050811155,0.07283684806261664,0.08638361254116043,0.8431790002752088
15,2026-04-08 13:21:29.845620+00:00,2026-04-08 19:17:51.900469+00:00,2026-04,2026-04,False,0.04854297091766639,original,0.06916645388204652,0.08850265047962125,0.7815184461393379,0.06966623592814862,0.07602200745291733,0.9163956367673528,0.08231387828825405,0.09934866704362678,0.8285353063882349
16,2026-04-08 19:17:51.900469+00:00,2026-04-09 02:14:15.652281+00:00,2026-04,2026-04,False,0.0419664977825492,original,0.07711196806567239,0.08957132397357492,0.8609001703315421,0.0919781890230384,0.1002125690014226,0.9178308663230926,0.06092786208369126,0.0730508634312096,0.8340471176095775
17,2026-04-09 02:14:15.652281+00:00,2026-04-09 07:24:09.016101+00:00,2026-04,2026-04,False,0.04841033095348982,original,0.08302568323359202,0.10308884081768449,0.80537992837096,0.08789828509292481,0.09270040079994879,0.9481974655386104,0.06146228120940835,0.07878446833691365,0.7801319537573225
18,2026-04-09 07:24:09.016101+00:00,2026-04-09 13:29:16.176078+00:00,2026-04,2026-04,False,0.04911459362144394,original,0.064824476646991,0.07700500303587404,0.8418216231585817,0.06100255054674488,0.07930407658553433,0.769223388925661,0.060755973397394955,0.08144096591832654,0.7460124362759201
19,2026-04-09 13:29:16.176078+00:00,2026-04-09 19:08:27.826675+00:00,2026-04,2026-04,False,0.08313976841689699,original,0.07664146217026205,0.13305613285998663,0.5760084899725061,0.09296441728464663,0.08922147664007196,1.0419511174386191,0.06490900182465419,0.11748076592275765,0.5525074791164637
20,2026-04-09 19:08:27.826675+00:00,2026-04-10 02:33:58.416763+00:00,2026-04,2026-04,False,0.06365610165955327,original,0.11026842587831522,0.14481666993374234,0.7614346188789322,0.1660591757412773,0.15298088357530015,1.0854897151874519,0.0953140774787132,0.12884420186427079,0.7397622562722733
21,2026-04-10 02:33:58.416763+00:00,2026-04-10 07:29:12.361067+00:00,2026-04,2026-04,False,0.05846810161427426,original,0.07457074490634821,0.10436632820285967,0.7145096142637406,0.14004636455935773,0.1551296928949677,0.9027695597526755,0.1196466281935468,0.12160221837105131,0.9839181373193594
22,2026-04-10 07:29:12.361067+00:00,2026-04-10 13:11:24.579271+00:00,2026-04,2026-04,False,0.07322409693265026,original,0.08082776677500528,0.07865148223182789,1.0276699749505385,0.08816563086448613,0.0891276588161672,0.9892061794906413,0.1270975475041499,0.18004332091370587,0.7059275893109487
23,2026-04-10 13:11:24.579271+00:00,2026-04-10 18:54:53.545022+00:00,2026-04,2026-04,False,0.06495516013040757,original,0.08463279447009321,0.08926845007252775,0.9480706162292701,0.08202667097817715,0.08317943181996618,0.9861412753541756,0.11368840230923209,0.15679916002610234,0.7250574702715652
24,2026-04-10 18:54:53.545022+00:00,2026-04-11 02:12:50.512879+00:00,2026-04,2026-04,False,0.051876171150151404,original,0.07080584688928225,0.09198230752612474,0.7697768059272924,0.07547731098520774,0.08907683425101855,0.8473281703356527,0.0654611808262402,0.08169116573284797,0.8013250911404033
25,2026-04-11 02:12:50.512879+00:00,2026-04-11 07:02:35.927320+00:00,2026-04,2026-04,False,0.05676904934298111,original,0.06904997738992147,0.0920846997915836,0.7498528805133003,0.08562979561592658,0.11453520297050747,0.7476286189319108,0.07359869897784103,0.07474894817336822,0.9846118343650888
